,Class,Accuracy,Top 5 Accuracy,F1 score,Precision,Recall,Specificity
0,"tench, Tinca tinca",tensor(0.7428),0.98,0.96,0.96,0.96,0.99995995
1,"goldfish, Carassius auratus",tensor(0.7428),0.96,0.875,0.9130435,0.84,0.9999199
2,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",tensor(0.7428),0.98,0.8125,0.84782606,0.78,0.99985987
3,"tiger shark, Galeocerdo cuvieri",tensor(0.7428),0.94,0.74999994,0.7222222,0.78,0.9996997
4,"hammerhead, hammerhead shark",tensor(0.7428),0.98,0.7924529,0.75,0.84,0.99971974
5,"electric ray, crampfish, numbfish, torpedo",tensor(0.7428),0.92,0.71559626,0.66101694,0.78,0.9995996
6,stingray,tensor(0.7428),0.96,0.76595753,0.8181818,0.72,0.99983984
7,cock,tensor(0.7428),0.92,0.78160924,0.9189189,0.68,0.9999399
8,hen,tensor(0.7428),0.94,0.79611653,0.7735849,0.82,0.99975973
9,"ostrich, Struthio camelus",tensor(0.7428),1.0,0.98039216,0.96153843,1.0,0.99995995
10,"brambling, Fringilla montifringilla",tensor(0.7428),0.96,0.8269231,0.7962963,0.86,0.99977976
11,"goldfinch, Carduelis carduelis",tensor(0.7428),1.0,0.9292929,0.93877554,0.92,0.9999399
12,"house finch, linnet, Carpodacus mexicanus",tensor(0.7428),1.0,0.8910891,0.88235295,0.9,0.9998799
13,"junco, snowbird",tensor(0.7428),1.0,0.93333334,0.8909091,0.98,0.9998799
14,"indigo bunting, indigo finch, indigo bird, Passerina cyanea",tensor(0.7428),0.98,0.9215687,0.90384614,0.94,0.9998999
15,"robin, American robin, Turdus migratorius",tensor(0.7428),0.98,0.89795923,0.9166667,0.88,0.9999199
16,bulbul,tensor(0.7428),0.98,0.9375,0.9782609,0.9,0.99998
17,jay,tensor(0.7428),0.94,0.94,0.94,0.94,0.9999399
18,magpie,tensor(0.7428),0.94,0.9148936,0.97727275,0.86,0.99998
19,chickadee,tensor(0.7428),0.98,0.9591837,0.9791667,0.94,0.99998
20,"water ouzel, dipper",tensor(0.7428),0.94,0.8659794,0.89361703,0.84,0.9998999
21,kite,tensor(0.7428),0.98,0.78846157,0.7592593,0.82,0.99973977
